aX,aY,aZ,gX,gY,gZ
0.51,0.51,0.56,0.50,0.50,0.53
0.51,0.51,0.56,0.50,0.49,0.53
0.52,0.51,0.56,0.50,0.49,0.53
0.52,0.51,0.56,0.50,0.49,0.53
0.52,0.51,0.57,0.50,0.50,0.53
0.52,0.51,0.57,0.50,0.50,0.53
0.51,0.51,0.57,0.50,0.50,0.53
0.51,0.51,0.57,0.50,0.50,0.53
0.51,0.51,0.57,0.50,0.50,0.52
0.51,0.51,0.57,0.50,0.50,0.52
0.51,0.51,0.57,0.50,0.50,0.52
0.51,0.51,0.57,0.50,0.50,0.52
0.51,0.51,0.57,0.50,0.50,0.52
0.51,0.51,0.57,0.50,0.50,0.52
0.51,0.51,0.57,0.50,0.50,0.52

0.59,0.51,0.65,0.50,0.53,0.50
0.61,0.50,0.66,0.51,0.53,0.50
0.63,0.50,0.66,0.52,0.54,0.49
0.64,0.49,0.66,0.53,0.54,0.48
0.65,0.49,0.64,0.54,0.54,0.47
0.65,0.49,0.64,0.54,0.54,0.47
0.65,0.49,0.62,0.55,0.54,0.45
0.64,0.48,0.59,0.56,0.54,0.44
0.64,0.47,0.57,0.57,0.53,0.43
0.63,0.47,0.54,0.57,0.52,0.41
0.62,0.46,0.53,0.57,0.51,0.40
0.62,0.46,0.53,0.57,0.51,0.40
0.60,0.46,0.51,0.56,0.50,0.39
0.58,0.45,0.50,0.56,0.50,0.38
0.55,0.45,0.49,0.55,0.51,0.37
0.52,0.45,0.49,0.55,0.51,0.37
0.50,0.46,0.49,0.54,0.51,0.36
0.50,0.46,0.49,0.54,0.51,0.36
0.48,0.45,0.49,0.53,0.51,0.36
